,vals,factors
0,1,"1, 0"
1,1,"2, 0"
2,2,"2, 1"
3,1,"3, 0"
4,3,"3, 1"
5,3,"3, 2"
6,1,"4, 0"
7,4,"4, 1"
8,6,"4, 2"
9,4,"4, 3"
10,1,"5, 0"
11,5,"5, 1"
12,10,"5, 2"
13,10,"5, 3"
14,5,"5, 4"
15,1,"6, 0"
16,6,"6, 1"
17,15,"6, 2"
18,20,"6, 3"
19,15,"6, 4"
20,6,"6, 5"
21,1,"7, 0"
22,7,"7, 1"
23,21,"7, 2"
24,35,"7, 3"
25,35,"7, 4"
26,21,"7, 5"
27,7,"7, 6"
28,1,"8, 0"
29,8,"8, 1"
30,28,"8, 2"
31,56,"8, 3"
32,70,"8, 4"
33,56,"8, 5"
34,28,"8, 6"
35,8,"8, 7"
36,1,"9, 0"
37,9,"9, 1"
38,36,"9, 2"
39,84,"9, 3"
40,126,"9, 4"
41,126,"9, 5"
42,84,"9, 6"
43,36,"9, 7"
44,9,"9, 8"
45,1,"10, 0"
46,10,"10, 1"
47,45,"10, 2"
48,120,"10, 3"
49,210,"10, 4"
50,252,"10, 5"
51,210,"10, 6"
52,120,"10, 7"
53,45,"10, 8"
54,10,"10, 9"
55,1,"11, 0"
56,11,"11, 1"
57,55,"11, 2"
58,165,"11, 3"
59,330,"11, 4"
60,462,"11, 5"
61,462,"11, 6"
62,330,"11, 7"
63,165,"11, 8"
64,55,"11, 9"
65,11,"11, 10"
66,1,"12, 0"
67,12,"12, 1"
68,66,"12, 2"
69,220,"12, 3"
70,495,"12, 4"
71,792,"12, 5"
72,924,"12, 6"
73,792,"12, 7"
74,495,"12, 8"
75,220,"12, 9"
76,66,"12, 10"
77,12,"12, 11"
78,1,"13, 0"
79,13,"13, 1"
80,78,"13, 2"
81,286,"13, 3"
82,715,"13, 4"
83,1287,"13, 5"
84,1716,"13, 6"
85,1716,"13, 7"
86,1287,"13, 8"
87,715,"13, 9"
88,286,"13, 10"
89,78,"13, 11"
90,13,"13, 12"
91,1,"14, 0"
92,14,"14, 1"
93,91,"14, 2"
94,364,"14, 3"
95,1001,"14, 4"
96,2002,"14, 5"
97,3003,"14, 6"
98,3432,"14, 7"
99,3003,"14, 8"
100,2002,"14, 9"
101,1001,"14, 10"
102,364,"14, 11"
103,91,"14, 12"
104,14,"14, 13"
105,1,"15, 0"
106,15,"15, 1"
107,105,"15, 2"
108,455,"15, 3"
109,1365,"15, 4"
110,3003,"15, 5"
111,5005,"15, 6"
112,6435,"15, 7"
113,6435,"15, 8"
114,5005,"15, 9"
115,3003,"15, 10"
116,1365,"15, 11"
117,455,"15, 12"
118,105,"15, 13"
119,15,"15, 14"
120,1,"16, 0"
121,16,"16, 1"
122,120,"16, 2"
123,560,"16, 3"
124,1820,"16, 4"
125,4368,"16, 5"
126,8008,"16, 6"
127,11440,"16, 7"
128,12870,"16, 8"
129,11440,"16, 9"
130,8008,"16, 10"
131,4368,"16, 11"
132,1820,"16, 12"
133,560,"16, 13"
134,120,"16, 14"
135,16,"16, 15"
136,1,"17, 0"
137,17,"17, 1"
138,136,"17, 2"
139,680,"17, 3"
140,2380,"17, 4"
141,6188,"17, 5"
142,12376,"17, 6"
143,19448,"17, 7"
144,24310,"17, 8"
145,24310,"17, 9"
146,19448,"17, 10"
147,12376,"17, 11"
148,6188,"17, 12"
149,2380,"17, 13"
150,680,"17, 14"
151,136,"17, 15"
152,17,"17, 16"
153,1,"18, 0"
154,18,"18, 1"
155,153,"18, 2"
156,816,"18, 3"
157,3060,"18, 4"
158,8568,"18, 5"
159,18564,"18, 6"
160,31824,"18, 7"
161,43758,"18, 8"
162,48620,"18, 9"
163,43758,"18, 10"
164,31824,"18, 11"
165,18564,"18, 12"
166,8568,"18, 13"
167,3060,"18, 14"
168,816,"18, 15"
169,153,"18, 16"
170,18,"18, 17"
171,1,"19, 0"
172,19,"19, 1"
173,171,"19, 2"
174,969,"19, 3"
175,3876,"19, 4"
176,11628,"19, 5"
177,27132,"19, 6"
178,50388,"19, 7"
179,75582,"19, 8"
180,92378,"19, 9"
181,92378,"19, 10"
182,75582,"19, 11"
183,50388,"19, 12"
184,27132,"19, 13"
185,11628,"19, 14"
186,3876,"19, 15"
187,969,"19, 16"
188,171,"19, 17"
189,19,"19, 18"
